Date,Latitude,Longitude,M
18001011,36.8,-121.5,5.5
18001122,32.9,-117.8,6.3
18030000,34.2,-118.1,5.5
18030525,32.8,-117.1,5.5
18060325,34.4,-119.7,5.5
18080621,37.8,-122.6,5.5
18121208,34.37,-117.65,7.5
18121221,34.2,-119.8,7.1
18210101,34.55,-119.85,6.3
18270403,37.7,-122.5,5.5
18270924,34,-119,6
18300000,35.35,-120.65,6
18360610,36.9,-121.5,6.4
18380600,37.3,-122.15,7.4
18400118,36.85,-121.5,6.5
18410703,36.8,-121.5,6.2
18410729,36.8,-121.45,6
18521129,32.5,-115,6.5
18530201,35.7,-121.1,5.5
18530902,36.4,-121,6.4
18531023,40.8,-124.2,5.5
18550114,36.15,-120.7,5.5
18550125,39.5,-120.3,6
18550711,34.1,-118.1,6
18550827,38.1,-122.5,5.5
18560102,37.3,-122.5,5.7
18560215,37.5,-122.3,5.9
18560921,33.1,-116.7,5.5
18570109,36.29,-120.85,5.6
18570109,36.1,-120.65,6.1
18570109,35.3,-119.8,7.9
18570110,34.76,-118.71,5.6
18570116,34.52,-118.04,6.3
18570903,39.3,-120,6.3
18581126,37.5,-121.8,6.2
18581216,34.2,-117.4,6
18600315,39.5,-119.5,6.5
18600417,36.35,-120.95,6
18601113,40.8,-124.2,5.5
18610704,37.75,-121.95,5.8
18620527,32.55,-117.15,6.2
18630625,32.4,-117.1,5.8
18640226,37.2,-121.6,6.1
18640305,37.5528,-121.855,6
18640521,37.6,-121.9,5.8
18650524,37.1,-121.8,5.9
18651001,40.8,-124.2,5.5
18651008,37.2,-121.9,6.6
18660326,37,-121.7,5.8
18660715,37.7,-121.5,6
18680530,39.3,-119.7,6
18680917,38.6,-119.7,5.6
18681021,37.7,-122.1,7
18691008,39.1,-123.1,5.6
18691227,39.4,-119.7,6.4
18691227,39.1,-119.8,6.2
18700217,37.1,-122,5.9
18700402,37.9,-122.3,5.8
18710302,40.4,-124.2,6.3
18710705,36.4,-118,5.5
18720326,36.9,-118.2,6.8
18720326,36.7,-118.1,7.4
18720403,37,-118.2,6.3
18720411,37.5,-118.5,6.8
18720503,33,-115,5.8
18731123,42,-124,6.9
18750124,40.2,-120.5,6.2
18750930,40.7,-124,5.9
18751115,32.5,-115.5,6.2
18770530,35.7,-120.3,5.5
18770710,39,-120,5.5
18780509,40.4,-125.2,7
18800412,34.7,-118.2,5.9
18801122,34,-117,5.5
18801219,34,-117,5.9
18810107,40,-122,5.6
18810202,36.1,-120.6,6
18810410,37.4,-121.4,6.3
